EventID,UserName,TypeID
1,virginiaSmith,1
2,virginiaSmith,2
3,virginiaSmith,3
4,virginiaSmith,4
5,virginiaSmith,5
6,andreaJohnson,1
7,andreaJohnson,2
8,andreaJohnson,3
9,andreaJohnson,4
10,andreaJohnson,5
11,philWilliams,1
12,philWilliams,2
13,philWilliams,3
14,philWilliams,4
15,philWilliams,5
16,meghnaBrown,1
17,meghnaBrown,2
18,meghnaBrown,3
19,meghnaBrown,4
20,meghnaBrown,5
21,lindaJones,1
22,lindaJones,2
23,lindaJones,3
24,lindaJones,4
25,lindaJones,5
26,deborahMiller,1
27,deborahMiller,2
28,deborahMiller,3
29,deborahMiller,4
30,deborahMiller,5
31,julietDavis,1
32,julietDavis,2
33,julietDavis,3
34,julietDavis,4
35,julietDavis,5
36,marilynGarcia,1
37,marilynGarcia,2
38,marilynGarcia,3
39,marilynGarcia,4
40,marilynGarcia,5
41,samiRodriguez,1
42,samiRodriguez,2
43,samiRodriguez,3
44,samiRodriguez,4
45,samiRodriguez,5
46,damonWilson,1
47,damonWilson,2
48,damonWilson,3
49,damonWilson,4
50,damonWilson,5
51,ricardoMartinez,1
52,ricardoMartinez,2
53,ricardoMartinez,3
54,ricardoMartinez,4
55,ricardoMartinez,5
56,rebeccaAnderson,1
57,rebeccaAnderson,2
58,rebeccaAnderson,3
59,rebeccaAnderson,4
60,rebeccaAnderson,5
61,meganTaylor,1
62,meganTaylor,2
63,meganTaylor,3
64,meganTaylor,4
65,meganTaylor,5
66,georgiaThomas,1
67,georgiaThomas,2
68,georgiaThomas,3
69,georgiaThomas,4
70,georgiaThomas,5
71,anthonyHernandez,1
72,anthonyHernandez,2
73,anthonyHernandez,3
74,anthonyHernandez,4
75,anthonyHernandez,5
76,duaneMoore,1
77,duaneMoore,2
78,duaneMoore,3
79,duaneMoore,4
80,duaneMoore,5
81,cynthiaMartin,1
82,cynthiaMartin,2
83,cynthiaMartin,3
84,cynthiaMartin,4
85,cynthiaMartin,5
86,meganJackson,1
87,meganJackson,2
88,meganJackson,3
89,meganJackson,4
90,meganJackson,5
91,barrieThompson,1
92,barrieThompson,2
93,barrieThompson,3
94,barrieThompson,4
95,barrieThompson,5
96,barrieWhite,1
97,barrieWhite,2
98,barrieWhite,3
99,barrieWhite,4
100,barrieWhite,5
101,mohamedLopez,1
102,mohamedLopez,2
103,mohamedLopez,3
104,mohamedLopez,4
105,mohamedLopez,5
106,carljudyLee,1
107,carljudyLee,2
108,carljudyLee,3
109,carljudyLee,4
110,carljudyLee,5
111,duaneGonzalez,1
112,duaneGonzalez,2
113,duaneGonzalez,3
114,duaneGonzalez,4
115,duaneGonzalez,5
116,jesusHarris,1
117,jesusHarris,2
118,jesusHarris,3
119,jesusHarris,4
120,jesusHarris,5
121,coletteClark,1
122,coletteClark,2
123,coletteClark,3
124,coletteClark,4
125,coletteClark,5
126,jenniferLewis,1
127,jenniferLewis,2
128,jenniferLewis,3
129,jenniferLewis,4
130,jenniferLewis,5
131,bethRobinson,1
132,bethRobinson,2
133,bethRobinson,3
134,bethRobinson,4
135,bethRobinson,5
136,joneWalker,1
137,joneWalker,2
138,joneWalker,3
139,joneWalker,4
140,joneWalker,5
141,danPerez,1
142,danPerez,2
143,danPerez,3
144,danPerez,4
145,danPerez,5
146,rebeccaHall,1
147,rebeccaHall,2
148,rebeccaHall,3
149,rebeccaHall,4
150,rebeccaHall,5
151,chrisYoung,1
152,chrisYoung,2
153,chrisYoung,3
154,chrisYoung,4
155,chrisYoung,5
156,nelsonmarleneAllen,1
157,nelsonmarleneAllen,2
158,nelsonmarleneAllen,3
159,nelsonmarleneAllen,4
160,nelsonmarleneAllen,5
161,crystalSanchez,1
162,crystalSanchez,2
163,crystalSanchez,3
164,crystalSanchez,4
165,crystalSanchez,5
166,barrieWright,1
167,barrieWright,2
168,barrieWright,3
169,barrieWright,4
170,barrieWright,5
171,joanneKing,1
172,joanneKing,2
173,joanneKing,3
174,joanneKing,4
175,joanneKing,5
176,genaleonScott,1
177,genaleonScott,2
178,genaleonScott,3
179,genaleonScott,4
180,genaleonScott,5
181,jimGreen,1
182,jimGreen,2
183,jimGreen,3
184,jimGreen,4
185,jimGreen,5
186,julietBaker,1
187,julietBaker,2
188,julietBaker,3
189,julietBaker,4
190,julietBaker,5
191,julietAdams,1
192,julietAdams,2
193,julietAdams,3
