TournamentId,GameId,TournamentName,StartDate,EndDate,Location,,TotalUSDPrize,,,
33632,245,ESL Mistrzostwa Polski - Spring 2019: Division 2 Playoffs (CS:GO),24/03/2019,02/04/2019,Online,,800,,,
33636,566,Twitch Rivals Apex Legends Rematch Challenge (EU),02/04/2019,02/04/2019,Online,,75000,,,
33635,566,Twitch Rivals Apex Legends Rematch Challenge (NA),02/04/2019,02/04/2019,Online,,75000,,,
33626,245,ESEA NA CS:GO MDL Season 30 - Playoffs,21/03/2019,01/04/2019,Online,,35000,,,
33599,272,A&C Cup: Solo Edition,31/03/2019,31/03/2019,Online,,1130.73,,,
33609,245,CIS ESports Invitational,30/03/2019,31/03/2019,Online,,1500,,,
33633,443,e-sport4u Double Elimination #34 (EU & NA),31/03/2019,31/03/2019,online,,200,,,
33616,245,ESEA NA CS:GO MDL Season 30 - All-Stars Game,31/03/2019,31/03/2019,Online,,6250,,,
33610,245,ESL UK/IRE Premiership - Spring 2019 (CS:GO),28/01/2019,31/03/2019,"Online/Finals: Manchester, England, UK",,17855.21,,,
33629,566,GG.BET AFL Frag Hunters,31/03/2019,31/03/2019,Online,,1700.41,,,
33615,245,Go4CS:GO EU #349,31/03/2019,31/03/2019,Online,,112.31,,,
33603,534,GrubHub Sunday Showdown week 6,31/03/2019,31/03/2019,Online,,,,,
33613,534,Luxe Cup - NA East,30/03/2019,31/03/2019,Online,,30000,,,
33605,534,Luxe Cup - NA West,30/03/2019,31/03/2019,Online,,10000,,,
33584,534,Luxe Cup - Oceania,30/03/2019,31/03/2019,Online,,5000,,,
33604,534,Luxe Cup - South America,30/03/2019,31/03/2019,Online,,7500,,,
33611,245,Mythic Cup #1,31/03/2019,31/03/2019,Online,,1500,,,
33597,567,Mythic Invitational,28/03/2019,31/03/2019,"Boston, USA",,1000000,,,
33588,272,Trackmania Grand League - Step 6,31/03/2019,31/03/2019,Online,,568.14,,,
33598,245,UML Season 1: Finals,30/03/2019,31/03/2019,"Osnabrück, Lower Saxony, Germany",,100000,,,
33591,566,Apex Legends Challenge Asia Cup Finals,30/03/2019,30/03/2019,Online,,71500,,,
33583,245,GG.Bet Sydney Invitational,25/03/2019,30/03/2019,Online,,5000,,,
33582,231,MT Weekend 5x5 Cup #5,30/03/2019,30/03/2019,Online,,109.43,,,
33594,566,T1 x FACEIT Apex Legends Invitational,30/03/2019,30/03/2019,Online,,25000,,,
33595,566,UMG Apex Legends Series Week 4,30/03/2019,30/03/2019,Online,,4000,,,
33634,245,WGC 2019 Invitational,30/03/2019,30/03/2019,Nordic,,160,,,
33596,566,WIRE Esports Apex Legends Global 1k Invitational,30/03/2019,30/03/2019,Online,,1500,,,
33580,566,Code Red #3,29/03/2019,29/03/2019,Online,,25000,,,
33593,536,CSW Season 2 King of the Hill (SFV AE),29/03/2019,29/03/2019,"Bahria Town,Rawalpindi,Pakistan",,4615,,,
33630,245,ESEA TR CS:GO Open Season 30 - Playoffs,29/03/2019,29/03/2019,Online,,750,,,
33562,406,TRUGAMING Invitational Tekken 7,29/03/2019,29/03/2019,Saudi Arabia,,95000,,,
33585,245,ESEA AU CS:GO MDL Season 30 - Playoffs,24/03/2019,28/03/2019,Online,,10000,,,
33606,245,FACEIT Pro League EU March Week #4 2019 (CS:GO),20/03/2019,27/03/2019,Online,,5200,,,
33586,272,Trackmania University Cup,26/02/2019,26/03/2019,Online,,226.15,,,
33543,566,Twitch Rivals Apex Legends Challenge - Road to TwitchCon (North America),26/03/2019,26/03/2019,Online,,50000,,,
